Age,"Core ComicID","Core SeriesID",Country,Crossover,"Full Title",Genre,Imprint,Issue,"Issue Nr",Language,Publisher,"Release Date","Release Year",Series,"Series Group","Story Arc",Subtitle,Title,Variant,"Cover Price","CovrPrice Value","Custom Label","Date Sold",Grade,"Grader Notes","Grading Company",Key,"Key Category","Key Reason","Label Type","My Value","Page Quality","Price Sold","Purchase Date","Purchase Price","Purchase Store","Purchase Year","Raw / Slabbed","Signed by","Slab Certification Number","Sold Year",Value,Barcode,"Cover Date","Cover Year",Format,"No. of Pages","Variant Description"
Modern,103937,8878,USA,,"Psi-War, Part 2","Action | Adventure | Super-Heroes",,78A,78,English,"Marvel Comics","Aug 1998",1998,"X-Men, Vol. 1",X-Men,Psi-War,,"Part 2",A,1.99,,,,,,,No,,,,,,,,,,,Raw,,,,,75960601772007811,"Aug 1998",1998,Comic,32,"Direct Edition"
Modern,104121,8893,USA,Shattershot,"Shattershot - Part 1: The Slaves Of Destiny","Action | Adventure | Super-Heroes",,1A,1,English,"Marvel Comics","Mar 03, 1992",1992,"X-Men, Vol. 1 Annual",X-Men,,,"Part 1: The Slaves Of Destiny",A,2.25,,,,,,,No,,,,,,,,,,,Raw,,,,,,1992,1992,Comic,64,"Direct Edition"
Modern,104052,8887,USA,,"The Gathering","Action | Adventure | Futuristic | Science Fiction | Super-Heroes",,1A,1,English,"Marvel Comics","Aug 17, 1993",1993,"X-Men 2099",X-Men,,,"The Gathering",A,1.75,,,,,,,Minor,"1st team appearance","1st team app. X-Men 2099",,,,,,,,,Raw,,,,,75960601545000111,"Oct 1993",1993,Comic,32,"Direct Edition"
Modern,104216,8908,USA,,"Justice For All","Action | Adventure | Super-Heroes",,1A,1,English,"Marvel Comics","Dec 23, 1986",1986,"X-Men vs. Avengers",,,,"Justice For All",A,1.50,,,,,,,No,,,,,,,,,,,Raw,,,,,07148602470504,"Apr 1987",1987,Comic,32,"Direct Edition"
Modern,104217,8908,USA,,"Uneasy Allies","Action | Adventure | Super-Heroes",,2A,2,English,"Marvel Comics","Jan 27, 1987",1987,"X-Men vs. Avengers",,,,"Uneasy Allies",A,1.50,,,,,,,No,,,,,,,,,,,Raw,,,,,07148602470505,"May 1987",1987,Comic,32,"Direct Edition"
Modern,104218,8908,USA,,"The Soviets Strike Back!","Action | Adventure | Super-Heroes",,3A,3,English,"Marvel Comics","Feb 24, 1987",1987,"X-Men vs. Avengers",,,,"The Soviets Strike Back!",A,1.50,,,,,,,No,,,,,,,,,,,Raw,,,,,07148602470506,"Jun 1987",1987,Comic,32,"Direct Edition"
Modern,104219,8908,USA,,"Day of Judgment!","Action | Adventure | Super-Heroes",,4A,4,English,"Marvel Comics","Mar 24, 1987",1987,"X-Men vs. Avengers",,,,"Day of Judgment!",A,1.50,,,,,,,No,,,,,,,,,,,Raw,,,,,07148602470507,"Jul 1987",1987,Comic,32,"Direct Edition"
Modern,104127,8895,USA,,"Dreams of Darkest Destiny",Adventure,,1,1,English,"Marvel Comics","Aug 14, 1996",1996,"X-Men: Clan Destine",X-Men,,,"Dreams of Darkest Destiny",,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604354500111,"Oct 1996",1996,Comic,52,"First Printing"
Modern,104126,8895,USA,,"The Destine's Darkest Dreams",Adventure,,2,2,English,"Marvel Comics","Sep 11, 1996",1996,"X-Men: Clan Destine",X-Men,,,"The Destine's Darkest Dreams",,2.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604354500211,"Nov 1996",1996,Comic,48,"First Printing"
Modern,104009,8880,USA,,Survivors,Adventure,,1A,1,English,"Marvel Comics","Mar 18, 1998",1998,"X-Men / Alpha Flight, Vol. 2",,,,Survivors,A,2.99,,,,,,,No,,,,,,,,,,,Raw,,,,,75960604472600111,"May 1998",1998,Comic,0,"Direct Edition"
Modern,104006,8879,USA,,"The Gift, Part 1","Adventure | Super-Heroes",,1A,1,English,"Marvel Comics","Sep 10, 1985",1985,"X-Men / Alpha Flight, Vol. 1",,"The Gift",,"Part 1",A,1.50,,,,,,,Minor,"1st team appearance","1st team app. of Those Who Sit Above In Shadow",,,,,,,,,Raw,,,,,,"Dec 1985",1985,Comic,0,"Direct Edition"
Modern,723616,8879,USA,,"The Gift, Part 2","Adventure | Super-Heroes",,2B,2,English,"Marvel Comics","Jan 1986",1986,"X-Men / Alpha Flight, Vol. 1",,"The Gift",,"Part 2",B,1.50,,,,,,,No,,,,,,,,,,,Raw,,,,,0714860257201,"Jan 1986",1986,Comic,0,"Newsstand Edition"
